Date,Day,Week,Month,Year,Sales_inc_VAT,sales_excl_VAT,FY,Tertial,Store Name
04/01/2015,4,1,1,2015,223837,179069.6,FY16,T2,Croydon
11/01/2015,11,2,1,2015,169151,135320.8,FY16,T2,Croydon
18/01/2015,18,3,1,2015,183953,147162.4,FY16,T2,Croydon
25/01/2015,25,4,1,2015,241719,193375.2,FY16,T2,Croydon
01/02/2015,1,5,2,2015,146504,117203.2,FY16,T2,Croydon
08/02/2015,8,6,2,2015,301329,241063.2,FY16,T2,Croydon
15/02/2015,15,7,2,2015,432659,346127.2,FY16,T2,Croydon
22/02/2015,22,8,2,2015,206472,165177.6,FY16,T2,Croydon
01/03/2015,1,9,3,2015,343252,274601.6,FY16,T2,Croydon
08/03/2015,8,10,3,2015,259580,207664,FY16,T2,Croydon
15/03/2015,15,11,3,2015,290781,232624.8,FY16,T2,Croydon
22/03/2015,22,12,3,2015,110452,88361.6,FY16,T2,Croydon
29/03/2015,29,13,3,2015,229390,183512,FY16,T2,Croydon
05/04/2015,5,14,4,2015,499941,399952.8,FY16,T2,Croydon
12/04/2015,12,15,4,2015,497718,398174.4,FY16,T2,Croydon
19/04/2015,19,16,4,2015,132568,106054.4,FY16,T2,Croydon
26/04/2015,26,17,4,2015,223967,179173.6,FY16,T2,Croydon
03/05/2015,3,18,5,2015,351920,281536,FY16,T3,Croydon
10/05/2015,10,19,5,2015,441799,353439.2,FY16,T3,Croydon
17/05/2015,17,20,5,2015,151754,121403.2,FY16,T3,Croydon
24/05/2015,24,21,5,2015,282203,225762.4,FY16,T3,Croydon
31/05/2015,31,22,5,2015,366038,292830.4,FY16,T3,Croydon
07/06/2015,7,23,6,2015,250069,200055.2,FY16,T3,Croydon
14/06/2015,14,24,6,2015,121588,97270.4,FY16,T3,Croydon
21/06/2015,21,25,6,2015,103645,82916,FY16,T3,Croydon
28/06/2015,28,26,6,2015,141085,112868,FY16,T3,Croydon
05/07/2015,5,27,7,2015,125503,100402.4,FY16,T3,Croydon
12/07/2015,12,28,7,2015,165896,132716.8,FY16,T3,Croydon
19/07/2015,19,29,7,2015,433715,346972,FY16,T3,Croydon
26/07/2015,26,30,7,2015,249298,199438.4,FY16,T3,Croydon
02/08/2015,2,31,8,2015,308528,246822.4,FY16,T3,Croydon
09/08/2015,9,32,8,2015,428922,343137.6,FY16,T3,Croydon
16/08/2015,16,33,8,2015,261587,209269.6,FY16,T3,Croydon
23/08/2015,23,34,8,2015,277158,221726.4,FY16,T3,Croydon
30/08/2015,30,35,8,2015,190913,152730.4,FY16,T3,Croydon
06/09/2015,6,36,9,2015,272531,218024.8,FY17,T1,Croydon
13/09/2015,13,37,9,2015,145302,116241.6,FY17,T1,Croydon
20/09/2015,20,38,9,2015,458686,366948.8,FY17,T1,Croydon
27/09/2015,27,39,9,2015,268093,214474.4,FY17,T1,Croydon
04/10/2015,4,40,10,2015,277103,221682.4,FY17,T1,Croydon
11/10/2015,11,41,10,2015,428891,343112.8,FY17,T1,Croydon
18/10/2015,18,42,10,2015,284499,227599.2,FY17,T1,Croydon
25/10/2015,25,43,10,2015,307598,246078.4,FY17,T1,Croydon
01/11/2015,1,44,11,2015,137022,109617.6,FY17,T1,Croydon
08/11/2015,8,45,11,2015,243174,194539.2,FY17,T1,Croydon
15/11/2015,15,46,11,2015,293891,235112.8,FY17,T1,Croydon
22/11/2015,22,47,11,2015,396254,317003.2,FY17,T1,Croydon
29/11/2015,29,48,11,2015,405179,324143.2,FY17,T1,Croydon
06/12/2015,6,49,12,2015,358945,287156,FY17,T1,Croydon
13/12/2015,13,50,12,2015,311356,249084.8,FY17,T1,Croydon
20/12/2015,20,51,12,2015,201193,160954.4,FY17,T1,Croydon
27/12/2015,27,52,12,2015,124577,99661.6,FY17,T1,Croydon
03/01/2016,3,53,1,2016,406665,325332,FY17,T2,Croydon
10/01/2016,10,1,1,2016,422585,338068,FY17,T2,Croydon
17/01/2016,17,2,1,2016,305872,244697.6,FY17,T2,Croydon
24/01/2016,24,3,1,2016,152567,122053.6,FY17,T2,Croydon
